CookerStat, GenerateAssetRegistry=0.022706, Initialize=0.135288, RunGuid=RunID23CFE55149B374A145AA149D1089F4B4
DDCTransactionId5A881DC24A17C595E445229FABEE8D10_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_28DE57274A3332EEF9F501B19AD6472__D8F9D1BDEAB1251591A636DB07987BE9F8862A0A, StartTime=2016.05.16-03.15.57, HierarchicalDDC=, DataSize=2176, Duration=10.762304, RunGuid=RunID23CFE55149B374A145AA149D1089F4B4
DDCTransactionIdDC2314AD458B52709278AFB147524240_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_0830056548C9F616404CEF9F8F4EE1D__321DC6E11AD8F5589FA25DA4E316832656994A91, StartTime=2016.05.16-03.16.16, HierarchicalDDC=, DataSize=952, Duration=4.731927, RunGuid=RunID23CFE55149B374A145AA149D1089F4B4
DDCTransactionId5A881DC24A17C595E445229FABEE8D10_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B4789C874730F323FF5B569C1DE73AF__2CE9D8CF514472E29DACBF4B77458CB9A39B84CB, StartTime=2016.05.16-03.16.16, HierarchicalDDC=, DataSize=2052, Duration=4.464153, RunGuid=RunID23CFE55149B374A145AA149D1089F4B4
DDCTransactionId5A881DC24A17C595E445229FABEE8D10_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_FFE85E1D4192810851E2768065ACC9E__DC8B1F4671FD9D614C19A90A9ED605A47193BA96, StartTime=2016.05.16-03.16.38, HierarchicalDDC=, DataSize=2052, Duration=4.186742, RunGuid=RunID23CFE55149B374A145AA149D1089F4B4
DDCTransactionId5A881DC24A17C595E445229FABEE8D10_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4B8E351F4DDCBB1A8BDAC68ACB8FD4E__60DDC378CCFE8BE9C3174F53780723E14A5A0981, StartTime=2016.05.16-03.16.41, HierarchicalDDC=, DataSize=952, Duration=7.096808, RunGuid=RunID23CFE55149B374A145AA149D1089F4B4
DDCTransactionIdDC2314AD458B52709278AFB147524240_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_0C53A9CE4CF27CCA4146A48ED815A20__397692504C97772149B8C8EB6F9FB640C5926212, StartTime=2016.05.16-03.16.44, HierarchicalDDC=, DataSize=952, Duration=5.338077, RunGuid=RunID23CFE55149B374A145AA149D1089F4B4
DDCTransactionIdDC2314AD458B52709278AFB147524240_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E36D295D48A905FABBFB9C8A91E80D2__324B38394411F292B88E91634B91A636F98650F2, StartTime=2016.05.16-03.16.58, HierarchicalDDC=, DataSize=952, Duration=5.298890, RunGuid=RunID23CFE55149B374A145AA149D1089F4B4
DDCTransactionId7EF4635D42CC78AA3299A58776379C90_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_52BBFAFE4EBD547281097BA03B24B80__F15B0ECB1E4506ABE7A4A59AA066198D9B0515AB, StartTime=2016.05.16-03.16.59, HierarchicalDDC=, DataSize=952, Duration=4.502721, RunGuid=RunID23CFE55149B374A145AA149D1089F4B4
DDCTransactionId5A881DC24A17C595E445229FABEE8D10_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A533B18E4BA504E70972D6B99B9BDD1__F7BA2910671623F546E6F0C709BB57850510795A, StartTime=2016.05.16-03.17.01, HierarchicalDDC=, DataSize=952, Duration=4.274752, RunGuid=RunID23CFE55149B374A145AA149D1089F4B4
DDCTransactionId5A881DC24A17C595E445229FABEE8D10_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_FB0A289247C2EDECB7B547958BB17AA__55FBE1D3B4E9C0A08AC05DAC9BFF71DB71A943BF, StartTime=2016.05.16-03.17.11, HierarchicalDDC=, DataSize=952, Duration=9.042449, RunGuid=RunID23CFE55149B374A145AA149D1089F4B4
SavePackageTransactionIdA845B15741F06E9B4C6D16BB1A66385D_3, Filename=F:/Meus documentos/Unreal Projects/LoseOrDie_Multi/Content/Maps/MultiplayerLevel.umap, AutoPackageBackupDelegate=6.007980, FlushAsyncLoading=0.015549, FlushStreamingFunc=0.176027, BlockTillAllRequestsFinished=0.008397, ResetLoadersForSaveUnMarkAllObjects=83.273567, TagPackageExports=18.542696, BeginCacheForCookedPlatformData=0.021148, SerializeImports=17.286860, GatherLocalizableTextData=13.131224, MarkNames=0.126578, SerializeSummary=0.016484, SerializeNames=0.499159, SerializeGatherableTextData=0.207443, BuildExportMap=0.441626, SortExportsNonSeekfree=2.202220, SortExportsSeekfreeConstructor=0.063445, SortExportsSeekfreeInner=24.388020, SortExportsSeekfree=0.006221, BuildDependencyMap=0.234187, SerializeImportMap=0.042606, SerializeExportMap=0.066865, SerializeDependencyMap=0.016484, SerializeStringAssetReferenceMap=0.002176, SaveThumbNailsAssetRegistryDataWorldLevelInfo=19.781116, SerializeExports=24.946272, SerializeBulkData=3.621958, MoveFile=3.005855, UnaccountedTime=2.660953, RunGuid=RunID23CFE55149B374A145AA149D1089F4B4
SavePackageTransactionIdA845B15741F06E9B4C6D16BB1A66385D_4, Filename=F:/Meus documentos/Unreal Projects/LoseOrDie_Multi/Content/Assets/Tracks/BP/TrackRampBP.uasset, AutoPackageBackupDelegate=2.065688, FlushAsyncLoading=0.036079, FlushStreamingFunc=1.188658, BlockTillAllRequestsFinished=0.013683, ResetLoadersForSaveUnMarkAllObjects=0.225790, TagPackageExports=1.133919, BeginCacheForCookedPlatformData=0.002488, SerializeImports=1.738515, GatherLocalizableTextData=2.014373, MarkNames=0.029236, SerializeSummary=0.013061, SerializeNames=0.084907, SerializeGatherableTextData=0.008397, BuildExportMap=0.065312, SortExportsNonSeekfree=0.086769, SortExportsSeekfreeConstructor=0.009019, SortExportsSeekfreeInner=4.155327, SortExportsSeekfree=0.005286, BuildDependencyMap=0.020217, SerializeImportMap=0.008706, SerializeExportMap=0.009954, SerializeDependencyMap=0.002488, SerializeStringAssetReferenceMap=0.001866, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.286121, SerializeExports=1.483180, SerializeBulkData=0.005290, MoveFile=3.425401, UnaccountedTime=0.654973, RunGuid=RunID23CFE55149B374A145AA149D1089F4B4
SavePackageTransactionIdA845B15741F06E9B4C6D16BB1A66385D_5, Filename=F:/Meus documentos/Unreal Projects/LoseOrDie_Multi/Content/Assets/Tracks/Meshes/Ramp.uasset, AutoPackageBackupDelegate=0.076506, FlushAsyncLoading=0.003424, FlushStreamingFunc=0.037320, BlockTillAllRequestsFinished=0.003733, ResetLoadersForSaveUnMarkAllObjects=0.073083, TagPackageExports=0.031412, BeginCacheForCookedPlatformData=0.001553, SerializeImports=0.273064, GatherLocalizableTextData=0.149593, MarkNames=0.004977, SerializeSummary=0.009328, SerializeNames=0.049450, SerializeGatherableTextData=0.001244, BuildExportMap=0.015553, SortExportsNonSeekfree=0.005908, SortExportsSeekfreeConstructor=0.007775, SortExportsSeekfreeInner=0.569448, SortExportsSeekfree=0.002488, BuildDependencyMap=0.006530, SerializeImportMap=0.004977, SerializeExportMap=0.004664, SerializeDependencyMap=0.000935, SerializeStringAssetReferenceMap=0.001553, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.440466, SerializeExports=0.186913, SerializeBulkData=0.012130, MoveFile=3.063083, UnaccountedTime=0.710335, RunGuid=RunID23CFE55149B374A145AA149D1089F4B4
SavePackageTransactionIdA845B15741F06E9B4C6D16BB1A66385D_6, Filename=F:/Meus documentos/Unreal Projects/LoseOrDie_Multi/Content/Assets/Tracks/BP/TrackMasterBP.uasset, AutoPackageBackupDelegate=5.606785, FlushAsyncLoading=0.009641, FlushStreamingFunc=0.050381, BlockTillAllRequestsFinished=0.006221, ResetLoadersForSaveUnMarkAllObjects=0.229832, TagPackageExports=1.971453, BeginCacheForCookedPlatformData=0.002801, SerializeImports=12.524139, GatherLocalizableTextData=2.138156, MarkNames=0.017416, SerializeSummary=0.011507, SerializeNames=0.094857, SerializeGatherableTextData=0.093609, BuildExportMap=0.071533, SortExportsNonSeekfree=0.134353, SortExportsSeekfreeConstructor=0.048518, SortExportsSeekfreeInner=4.941545, SortExportsSeekfree=0.005599, BuildDependencyMap=0.027370, SerializeImportMap=0.008397, SerializeExportMap=0.013065, SerializeDependencyMap=0.004042, SerializeStringAssetReferenceMap=0.001866, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.328731, SerializeExports=2.716314, SerializeBulkData=0.006218, MoveFile=3.205832, UnaccountedTime=0.665549, RunGuid=RunID23CFE55149B374A145AA149D1089F4B4
SavePackageTransactionIdA845B15741F06E9B4C6D16BB1A66385D_7, Filename=F:/Meus documentos/Unreal Projects/LoseOrDie_Multi/Content/Assets/Tracks/BP/TrackRampBP.uasset, AutoPackageBackupDelegate=5.077455, FlushAsyncLoading=0.012130, FlushStreamingFunc=0.059091, BlockTillAllRequestsFinished=0.006843, ResetLoadersForSaveUnMarkAllObjects=0.114761, TagPackageExports=1.189902, BeginCacheForCookedPlatformData=0.002176, SerializeImports=32.587337, GatherLocalizableTextData=2.537794, MarkNames=0.020217, SerializeSummary=0.011194, SerializeNames=0.102010, SerializeGatherableTextData=0.102323, BuildExportMap=0.100143, SortExportsNonSeekfree=0.093922, SortExportsSeekfreeConstructor=0.007775, SortExportsSeekfreeInner=4.682481, SortExportsSeekfree=0.003420, BuildDependencyMap=0.023328, SerializeImportMap=0.010263, SerializeExportMap=0.042606, SerializeDependencyMap=0.003420, SerializeStringAssetReferenceMap=0.001866, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.228985, SerializeExports=1.773655, SerializeBulkData=0.004977, MoveFile=3.441576, UnaccountedTime=1.001433, RunGuid=RunID23CFE55149B374A145AA149D1089F4B4
SavePackageTransactionIdA845B15741F06E9B4C6D16BB1A66385D_8, Filename=F:/Meus documentos/Unreal Projects/LoseOrDie_Multi/Content/Maps/MultiplayerLevel.umap, AutoPackageBackupDelegate=5.170446, FlushAsyncLoading=0.012752, FlushStreamingFunc=0.311937, BlockTillAllRequestsFinished=0.005595, ResetLoadersForSaveUnMarkAllObjects=76.592575, TagPackageExports=13.658997, BeginCacheForCookedPlatformData=0.006843, SerializeImports=15.745833, GatherLocalizableTextData=12.134765, MarkNames=0.085216, SerializeSummary=0.015240, SerializeNames=0.451889, SerializeGatherableTextData=10.413043, BuildExportMap=1.110286, SortExportsNonSeekfree=2.016243, SortExportsSeekfreeConstructor=0.069041, SortExportsSeekfreeInner=24.466396, SortExportsSeekfree=0.007465, BuildDependencyMap=0.208993, SerializeImportMap=0.035144, SerializeExportMap=0.065930, SerializeDependencyMap=0.017729, SerializeStringAssetReferenceMap=0.002176, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.195690, SerializeExports=19.844250, SerializeBulkData=3.688201, MoveFile=5.165473, UnaccountedTime=0.775334, RunGuid=RunID23CFE55149B374A145AA149D1089F4B4
SavePackageTransactionIdA845B15741F06E9B4C6D16BB1A66385D_9, Filename=F:/Meus documentos/Unreal Projects/LoseOrDie_Multi/Content/Assets/Tracks/BP/TrackMasterBP.uasset, AutoPackageBackupDelegate=1.817510, FlushAsyncLoading=0.004355, FlushStreamingFunc=0.085525, BlockTillAllRequestsFinished=0.005908, ResetLoadersForSaveUnMarkAllObjects=0.090502, TagPackageExports=1.994468, BeginCacheForCookedPlatformData=0.004046, SerializeImports=2.567649, GatherLocalizableTextData=2.220884, MarkNames=0.020213, SerializeSummary=0.011507, SerializeNames=0.095166, SerializeGatherableTextData=0.082105, BuildExportMap=0.072464, SortExportsNonSeekfree=0.150837, SortExportsSeekfreeConstructor=0.008710, SortExportsSeekfreeInner=5.298890, SortExportsSeekfree=0.006221, BuildDependencyMap=0.028301, SerializeImportMap=0.008397, SerializeExportMap=0.012752, SerializeDependencyMap=0.003733, SerializeStringAssetReferenceMap=0.001553, SaveThumbNailsAssetRegistryDataWorldLevelInfo=8.096996, SerializeExports=2.904158, SerializeBulkData=0.007153, MoveFile=3.451835, UnaccountedTime=0.743613, RunGuid=RunID23CFE55149B374A145AA149D1089F4B4
SavePackageTransactionIdA845B15741F06E9B4C6D16BB1A66385D_10, Filename=F:/Meus documentos/Unreal Projects/LoseOrDie_Multi/Content/Assets/Tracks/BP/TrackRampBP.uasset, AutoPackageBackupDelegate=1.910809, FlushAsyncLoading=0.004042, FlushStreamingFunc=0.080239, BlockTillAllRequestsFinished=0.005599, ResetLoadersForSaveUnMarkAllObjects=0.087705, TagPackageExports=1.309637, BeginCacheForCookedPlatformData=0.002179, SerializeImports=1.545068, GatherLocalizableTextData=2.443250, MarkNames=0.018969, SerializeSummary=0.011198, SerializeNames=0.119112, SerializeGatherableTextData=0.080861, BuildExportMap=0.094548, SortExportsNonSeekfree=0.094235, SortExportsSeekfreeConstructor=0.007775, SortExportsSeekfreeInner=4.859131, SortExportsSeekfree=0.005595, BuildDependencyMap=0.025816, SerializeImportMap=0.010572, SerializeExportMap=0.011198, SerializeDependencyMap=0.006843, SerializeStringAssetReferenceMap=0.003729, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.221520, SerializeExports=1.906767, SerializeBulkData=0.005599, MoveFile=4.077885, UnaccountedTime=0.834428, RunGuid=RunID23CFE55149B374A145AA149D1089F4B4
DDCTransactionId5A881DC24A17C595E445229FABEE8D10_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2EBBC0A74A37127127BF2A8B1A946CF__E061080D718A976119F2E62ED535F8EF8F0D15CC, StartTime=2016.05.16-03.28.43, HierarchicalDDC=, DataSize=2214, Duration=4.228726, RunGuid=RunID23CFE55149B374A145AA149D1089F4B4
DDCTransactionIdDC2314AD458B52709278AFB147524240_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C5F1A971435933E9586075B41995DF4__3A66FB32B24635BABC2264D6513B5A7508DFBEF5, StartTime=2016.05.16-03.28.45, HierarchicalDDC=, DataSize=2214, Duration=3.565665, RunGuid=RunID23CFE55149B374A145AA149D1089F4B4
DDCTransactionId5A881DC24A17C595E445229FABEE8D10_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B8BB89F14F7C8B624ED61A8821E4C61__CCFD6A3AD2B2C0D47FEC72A4C8A3F9A8F13F9565, StartTime=2016.05.16-03.28.56, HierarchicalDDC=, DataSize=952, Duration=3.919896, RunGuid=RunID23CFE55149B374A145AA149D1089F4B4
DDCTransactionId5A881DC24A17C595E445229FABEE8D10_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_FF9E8C1F4D476A013DA503AE903D820__A8AFB53F80EFCB934C651DF07353B1BEEC471446, StartTime=2016.05.16-03.29.08, HierarchicalDDC=, DataSize=2214, Duration=5.562626, RunGuid=RunID23CFE55149B374A145AA149D1089F4B4
